gas age (GT4),Atm O18
724,-0.06
813,0.03
987,-0.06
1184,-0.02
1418,0.08
1675,0.04
1932,-0.05
1935,0.14
2108,-0.09
2370,-0.05
2541,-0.09
2745,-0.08
3041,-0.11
3214,-0.13
3306,-0.05
3453,-0.15
3679,0.06
3695,-0.14
3814,0.04
4262,0.15
4299,-0.19
5207,-0.18
5529,-0.13
5559,-0.2
6009,-0.24
6278,-0.05
6293,-0.11
7313,0.1
7475,-0.21
8285,0.04
8318,0.06
8808,0.04
8856,-0.11
8879,-0.38
9443,0.24
9503,0.33
9655,0.25
9898,0.29
9952,0.24
10544,0.58
10570,0.32
11066,0.88
11073,0.93
11288,0.9
11499,0.72
11909,0.87
12609,1.11
13299,1.02
13850,1.21
13853,0.97
14302,1.06
14927,1.23
15123,0.91
15615,0.92
16185,1.16
16189,1.33
16719,0.97
17937,0.98
18797,0.89
19661,0.74
20435,0.98
21288,0.82
21999,0.67
22076,0.76
22590,0.9
23561,0.49
23928,1.02
25057,0.44
25812,0.44
26477,0.41
27904,0.37
28784,0.33
29056,0.47
29062,0.52
30942,0.35
32740,0.64
34133,0.58
34495,0.58
34893,0.57
34947,0.29
35449,0.49
36237,0.46
37241,0.49
37752,0.57
38599,0.52
39582,0.43
41011,0.57
41928,0.65
42711,0.46
43509,0.5
44336,0.43
45279,0.43
46655,0.29
47826,0.18
49156,0.31
50188,0.56
51152,0.37
51881,0.33
52763,0.22
53867,0.3
55442,0.26
56257,0.6
56713,0.31
57529,0.77
58373,0.71
59346,0.8
60229,0.72
61370,0.77
62301,0.67
63515,0.83
66581,0.77
67850,0.78
69299,0.71
70607,0.65
71543,0.56
72407,0.58
73689,0.42
74974,0.35
75937,0.31
76634,0.37
77505,0.14
78596,0.07
79753,0.02
80841,-0.05
81826,-0.03
82827,-0.25
83681,-0.21
84668,0.21
84733,0.13
85433,0.37
85498,0.05
86174,0.31
87755,0.26
88597,0.37
89355,0.23
90430,0.33
91475,0.43
92352,0.47
93181,0.56
95132,0.48
96632,0.41
98365,0.02
99254,-0.11
100462,-0.07
101636,-0.11
102314,-0.01
102869,-0.14
103548,-0.14
104017,0.06
104686,0.14
105444,0.33
106102,0.46
106686,0.44
107470,0.59
109824,0.73
113370,0.73
115226,0.39
117267,0.28
117891,-0.07
119319,-0.21
120424,-0.19
121904,-0.25
123521,-0.34
125622,-0.22
126162,-0.21
127030,0.17
127752,0.27
128325,0.65
128995,1
129069,0.9
130379,1.13
131959,1.23
133340,1.21
133418,1.12
133941,1.16
135202,1.03
135994,0.86
138408,0.91
143362,0.59
147205,0.6
148765,0.74
149816,0.82
151981,0.98
153069,0.89
154894,0.88
156102,0.8
159270,0.87
160281,0.79
162810,0.66
163928,0.38
166309,0.09
169989,0.11
171357,-0.13
172412,-0.1
174181,0.04
176144,-0.01
177430,0.24
179606,0.47
181627,0.88
184076,0.87
185778,0.72
187408,0.53
189454,0.47
190962,0.38
191858,0.12
193211,-0.11
194611,-0.03
195320,-0.11
198189,-0.14
199497,-0.06
200370,-0.15
200759,0.04
201104,-0.02
201707,0.2
201751,0.03
202917,0.39
203049,0.15
203585,0.39
204656,0.66
204934,0.52
205426,0.51
207759,0.47
209691,0.35
210894,0.26
212419,0.06
213539,-0.06
214611,-0.12
215622,-0.14
217045,0
217606,0.13
218640,0.05
219735,0.08
221031,0.14
222104,0.44
223181,0.51
224894,0.77
225994,0.84
226779,0.68
227928,0.65
231061,0.37
231478,0.27
232087,0.24
232849,0.09
233199,-0.01
235990,0.03
237741,0.48
238490,0.76
239486,0.75
240495,0.62
241301,0.63
243128,0.84
244726,0.75
246382,0.63
247944,0.51
250337,0.45
252048,0.37
253691,0.47
255933,0.59
257646,0.69
259567,0.66
261142,0.66
263563,0.73
266106,0.56
268568,0.4
270247,0.2
272620,0
274784,-0.15
276308,-0.09
278250,0
279851,-0.03
281656,0.09
283752,0.53
286629,0.6
288134,0.59
291089,0.45
293273,0.25
295052,-0.02
297568,0.02
300215,0.19
301918,0.26
304243,0.57
306589,0.59
308551,0.56
311344,0.38
313862,0.18
315533,-0.03
317837,-0.21
319956,-0.16
321706,0.03
323802,0.77
325218,1.02
328540,1.12
330355,1.19
332841,1.21
336045,1.05
337494,0.92
342238,0.7
345278,0.67
348373,0.68
351525,0.67
355044,0.63
356764,0.41
361967,0.07
363534,0.11
368878,0.23
371710,0.33
375539,0.15
378831,0.39
382627,0.35
385590,0.65
391478,0.52
397554,0.55
401044,0.38
402666,0.24
406607,0.02
409860,-0.08
412938,0.02
414603,-0.06
